estimator,original_estimate,per_century_risk,estimate_confidence,conversion_confidence,reasoning,risk_category,estimate_confidence_numeric,conversion_confidence_numeric,date
Buck Shlegris,25% doom,0.25,medium,high,Direct century estimate. Medium confidence due to author noting 'fluctuates wildly'.,ai,2,3,2023
Bensinger Survey (safety),"Mean 30%, Median 20%",0.25,medium,high,Direct century estimate. Using average of mean/median. Medium confidence due to expert survey methodology.,ai,2,3,2021
Bensinger Survey (alignment),"Mean 40%, Median 30%",0.35,medium,high,Direct century estimate. Using average of mean/median. Medium confidence due to expert survey methodology.,ai,2,3,2021
Joe Carlsmith,5% by 2070,0.071,medium,medium,Scaled from 48 years to 100. Medium confidence due to 'highly-unstable' self-assessment.,ai,2,2,2021
Beth Barnes,10x smaller than alignment,0.035,low,medium,Derived from alignment estimates (~35%/10). Low confidence due to indirect estimation.,ai,1,2,2021
Rohin Shah,Similar to 10%,0.1,medium,high,Direct century estimate. Medium confidence due to author's detailed reasoning.,ai,2,3,2020
Toby Ord,10% by 2120,0.083,high,high,Scaled from 98 years to 100. High confidence due to detailed methodology.,ai,3,3,2020
Rob Wiblin,Something like 10%,0.1,medium,high,Direct century estimate. Medium confidence due to approximate language.,ai,2,3,2017
GCR Conference,5% by 2100,0.05,medium,high,Direct century estimate. Medium confidence due to survey methodology.,ai,2,3,2008
AI Experts Survey,5% extinction,0.05,medium,high,Direct long-term estimate. Medium confidence due to survey methodology concerns.,ai,2,3,2017
Pamlin & Armstrong,0-10%,0.05,low,high,Direct century estimate. Used midpoint. Low confidence due to wide range.,ai,1,3,2015
Ben Garfinkel,0.1-1%,0.0055,medium,high,Direct century estimate. Used midpoint. Medium confidence due to clear range specification.,ai,2,3,2020
Rohin Shah (adversarial),5-9%,0.07,medium,high,Direct century estimate. Used midpoint of updated range. Medium confidence due to author's caveats.,ai,2,3,2020
Buck Shlegris (2020),50%,0.5,low,high,Direct century estimate. Low confidence due to later significant revision.,ai,1,3,2020
James Fodor,0.05%,0.0005,low,high,Direct century estimate. Low confidence due to author's own caveats.,ai,1,3,2020
Stuart Armstrong (2020),5-30%,0.175,medium,high,Direct century estimate. Used midpoint. Medium confidence due to range specification.,ai,2,3,2020
Stuart Armstrong (2014),33-50%,0.415,low,high,Direct century estimate. Used midpoint. Low confidence due to noted instability.,ai,1,3,2014
Paul Christiano,10% value reduction,0.1,medium,high,Direct century estimate. Medium confidence due to author's caveats about numbers.,ai,2,3,2019
Jaan Tallinn,33-50%,0.415,medium,high,Direct century estimate. Used midpoint. Medium confidence due to explicit uncertainty.,ai,2,3,2020